MRIP - Site ID,MRIP - Site Name,MRIP - Street Adreess,MRIP - City,MRIP - County Code,MRIP - County,MRIP - Zip,MRIP - State,MRIP - Latitude,MRIP - Longitude,MRIP - Directions:,,,
NO CODE,LAGUNA LEVITOWN,CARR. 165,TOA BAJA,137,TOA BAJA,,PR,18.459457,66.193958,"CARR. 165, LUEGO CALLE 1 FINAL URB. CAMINO DEL MAR",,,
NO CODE,PUNTA EMBARCADERO,CARR. 3 DENTRO DE BALNEARIO ,LUQUILLO,89,LUQUILLO,,PR,18.387633,65.727731,CARR. 3 DENTRO DE BALNEARIO LA MONSERRATE,,,
,Marina 9 Barrios,PR-308,Cabo Rojo,23,Cabo Rojo,623,PR,18.0748264,-67.1873346,"Marina 9 Barrios, Bo. Puerto Real, PR-308",,,
,Playa Crash Boat,PR-458,Aguadilla,5,Aguadilla,603,PR,18.4587557,-67.1639648,"Playa Crash Boat, Bo. Borinquen, PR-458",,,
,Playa Jauca ,,Santa Isabel ,133,Santa Isabel,757,PR,"17 °57'55"" N","66 °21'55"" W",PR- 1 Calle 3 Santa Isabel ,,,
,Playa La Fanduca,,Naguabo ,,Naguabo ,718,PR,"18°18'7"" N","65°71'8"" W",Playa Húcares Sector La Fanduca Parc138 ,,,
,Playa Peña Blanca,Wishing Well St,Aguadilla,5,Aguadilla,603,PR,18.4721766,-67.168419,"Playa Peña Blanca, calle Wishing Well, Sector Playuelas, Bo. Borinquen",,,
,Playa Shacks,PR-4466,Isabela,71,Isabela,662,PR,18.5148029,-67.100665,"Playa Shacks, Bo. Bajura, PR-4466",,,
,Punta Borinquen,Villa del Golf St.,Aguadilla,5,Aguadilla,603,PR,18.4905151,-67.1558562,"Playa Punta Borinquen, Villa del Golf St., Bo. Borinquen",,,
,Water & Sport,,Patillas,109,Patillas,,PR,"17°58'27"" N","65°59'17"" W",,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
